City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,Puerto Asis,0.5133,-76.5007,74.25,77,30,2.95,CO,2022-02-03 00:48:58
183,Ahipara,-35.1667,173.1667,76.35,63,67,14.52,NZ,2022-02-03 00:48:58
184,Gat,31.61,34.7642,57.4,53,0,2.82,IL,2022-02-03 00:47:43
185,Deputatskiy,69.3,139.9,-25.69,94,47,5.61,RU,2022-02-03 00:48:58
186,Olafsvik,64.8945,-23.7142,29.08,49,12,0.87,IS,2022-02-03 00:48:58
187,Lorengau,-2.0226,147.2712,77.83,87,100,9.64,PG,2022-02-03 00:48:59
188,Agirish,61.9247,63.0231,5.23,100,97,3.94,RU,2022-02-03 00:48:59
189,Limon,10.0,-83.0333,76.89,83,20,2.3,CR,2022-02-03 00:48:59
190,Port-Gentil,-0.7193,8.7815,79.68,81,100,10.83,GA,2022-02-03 00:49:00
191,East London,-33.0153,27.9116,73.87,94,100,8.77,ZA,2022-02-03 00:49:00
192,Grand Gaube,-20.0064,57.6608,81.0,90,100,23.0,MU,2022-02-03 00:49:00
193,Belaya Gora,68.5333,146.4167,-28.25,100,17,2.35,RU,2022-02-03 00:49:00
194,Berdigestyakh,62.0989,126.6992,-18.69,99,98,3.65,RU,2022-02-03 00:49:01
195,Agadez,19.75,10.25,52.27,27,0,12.82,NE,2022-02-03 00:49:01
196,Urucui,-7.2294,-44.5561,77.29,73,1,1.57,BR,2022-02-03 00:49:01
197,Fier,40.7239,19.5561,41.16,66,0,10.83,AL,2022-02-03 00:49:02
198,Danville,36.586,-79.395,48.63,58,0,0.0,US,2022-02-03 00:49:02
199,Coahuayana,18.7333,-103.6833,81.88,74,0,2.84,MX,2022-02-03 00:49:02
200,Mudon,16.2578,97.7164,66.65,60,7,4.45,MM,2022-02-03 00:49:03
201,Ouidah,6.3631,2.0851,80.46,82,98,9.04,BJ,2022-02-03 00:49:03
202,Codrington,-38.2667,141.9667,60.64,62,100,15.82,AU,2022-02-03 00:49:03
203,Necochea,-38.5473,-58.7368,73.04,75,100,13.38,AR,2022-02-03 00:47:43
204,Caravelas,-17.7125,-39.2481,76.37,90,12,5.03,BR,2022-02-03 00:49:02
205,Esperance,-33.8667,121.9,69.64,53,6,15.5,AU,2022-02-03 00:49:04
206,Frolovo,49.7713,43.6622,36.39,100,100,18.16,RU,2022-02-03 00:44:41
207,Hirara,24.8,125.2833,68.27,88,75,9.22,JP,2022-02-03 00:49:04
208,Iqaluit,63.7506,-68.5145,6.53,84,75,10.0,CA,2022-02-03 00:47:24
209,Paamiut,61.994,-49.6678,14.22,62,100,20.42,GL,2022-02-03 00:49:05
210,Rawson,-43.3002,-65.1023,68.34,54,99,10.2,AR,2022-02-03 00:47:00
211,Camopi,3.1655,-52.3158,72.25,99,100,2.1,GF,2022-02-03 00:49:05
212,Madarounfa,13.3087,7.156,60.39,13,90,11.36,NE,2022-02-03 00:49:06
213,Khem Karan,31.1428,74.5667,53.82,76,99,7.2,IN,2022-02-03 00:49:06
214,Airai,-8.9266,125.4092,66.76,77,99,3.47,TL,2022-02-03 00:49:06
215,Tyrma,50.0833,132.1667,-12.06,95,92,1.3,RU,2022-02-03 00:49:07
216,Portland,45.5234,-122.6762,46.81,93,100,1.01,US,2022-02-03 00:45:03
217,Ryotsu,38.0833,138.4333,35.56,81,100,5.88,JP,2022-02-03 00:49:07
218,Santiago Del Estero,-27.7951,-64.2615,87.82,33,32,7.38,AR,2022-02-03 00:49:07
219,Caxambu,-21.9772,-44.9325,64.98,96,99,2.17,BR,2022-02-03 00:49:08
220,Havre-Saint-Pierre,50.2334,-63.5986,28.4,86,100,11.5,CA,2022-02-03 00:45:10
221,Tilichiki,60.4667,166.1,4.32,81,72,10.2,RU,2022-02-03 00:49:08
222,Prince Albert,53.2001,-105.7677,-20.25,63,0,5.75,CA,2022-02-03 00:49:08
223,Tekeli,44.83,78.8239,18.0,61,100,8.88,KZ,2022-02-03 00:49:09
224,Ruteng,-8.6136,120.4721,72.14,61,69,3.91,ID,2022-02-03 00:49:09
225,Rocha,-34.4833,-54.3333,68.29,89,0,9.55,UY,2022-02-03 00:49:09
226,Chulman,56.8479,124.9104,-11.04,95,100,9.82,RU,2022-02-03 00:50:10
227,San Andres,12.5847,-81.7006,80.62,78,40,9.22,CO,2022-02-03 00:50:10
228,Aksarka,66.5606,67.7975,3.24,98,100,3.24,RU,2022-02-03 00:50:10
229,Breyten,-26.3018,29.987,56.14,74,3,3.51,ZA,2022-02-03 00:50:11
230,Ichhawar,23.0167,77.0167,60.89,45,0,5.46,IN,2022-02-03 00:50:11
231,Maykor,59.0059,55.88,21.61,95,100,7.99,RU,2022-02-03 00:50:11
232,Tomigusuku,26.185,127.675,69.57,94,75,17.27,JP,2022-02-03 00:50:12
233,Egvekinot,66.3167,-179.1667,-7.74,78,7,19.75,RU,2022-02-03 00:50:12
234,The Valley,18.217,-63.0578,78.66,75,1,15.64,AI,2022-02-03 00:50:13
235,Tessalit,20.1986,1.0114,59.86,15,7,11.05,ML,2022-02-03 00:50:13
236,Vanavara,60.34,102.2797,-8.52,100,100,2.91,RU,2022-02-03 00:50:06
237,Poum,-20.2333,164.0167,80.15,73,0,0.45,NC,2022-02-03 00:50:13
238,Ureki,41.9956,41.7786,53.56,67,100,3.67,GE,2022-02-03 00:50:14
239,Omagari,39.45,140.4833,34.56,75,100,10.33,JP,2022-02-03 00:50:14
240,Acapulco,16.8634,-99.8901,80.42,65,20,8.05,MX,2022-02-03 00:49:27
241,Katsuura,35.1333,140.3,47.19,47,100,5.73,JP,2022-02-03 00:50:14
242,Urdoma,61.7533,48.5442,21.38,95,100,6.69,RU,2022-02-03 00:50:15
243,Port Lincoln,-34.7333,135.8667,65.19,58,75,15.64,AU,2022-02-03 00:50:15
244,Khani,41.9563,42.9566,38.77,73,100,10.54,GE,2022-02-03 00:50:15
245,Namatanai,-3.6667,152.4333,78.94,83,100,8.68,PG,2022-02-03 00:50:16
246,Longyearbyen,78.2186,15.6401,13.84,73,0,20.71,SJ,2022-02-03 00:50:16
247,Shaowu,27.3409,117.4831,40.48,95,100,2.21,CN,2022-02-03 00:50:16
248,Ust-Kuyga,70.0167,135.6,-25.87,98,22,7.45,RU,2022-02-03 00:50:17
249,Olinda,-8.0089,-34.8553,82.13,74,40,8.05,BR,2022-02-03 00:50:17
250,Mahebourg,-20.4081,57.7,80.89,89,75,29.93,MU,2022-02-03 00:48:52
251,Sikeston,36.8767,-89.5879,30.09,100,100,10.36,US,2022-02-03 00:46:54
252,Pevek,69.7008,170.3133,-6.63,74,0,4.12,RU,2022-02-03 00:50:17
253,Olkhovatka,50.2831,39.2872,32.45,99,100,2.55,RU,2022-02-03 00:50:18
254,Jatibarang,-6.4747,108.3153,80.01,79,100,6.04,ID,2022-02-03 00:50:18
255,Denpasar,-8.65,115.2167,82.06,78,20,5.75,ID,2022-02-03 00:49:31
256,Ingleside,27.8778,-97.2117,71.69,95,0,1.01,US,2022-02-03 00:50:19
257,Ambilobe,-13.2,49.05,73.4,95,100,1.66,MG,2022-02-03 00:50:19
258,Nome,64.5011,-165.4064,11.1,53,0,31.07,US,2022-02-03 00:50:19
259,Porto Belo,-27.1578,-48.5531,78.78,86,9,10.47,BR,2022-02-03 00:50:20
260,Ekangala,-25.6962,28.7492,66.18,58,0,6.35,ZA,2022-02-03 00:50:20
261,Pitimbu,-7.4706,-34.8086,81.19,73,100,10.85,BR,2022-02-03 00:50:20
262,Karoi,-16.8099,29.6925,63.28,98,73,4.72,ZW,2022-02-03 00:50:21
263,Provideniya,64.3833,-173.3,8.71,78,75,31.32,RU,2022-02-03 00:50:21
264,Ampanihy,-24.7,44.75,68.94,75,0,8.16,MG,2022-02-03 00:50:21
265,Afrikanda,67.4429,32.7828,-0.65,100,99,3.67,RU,2022-02-03 00:50:22
266,Saskylakh,71.9167,114.0833,-31.61,100,17,2.82,RU,2022-02-03 00:50:22
267,Cidreira,-30.1811,-50.2056,75.49,86,5,18.97,BR,2022-02-03 00:50:22
268,Alta Floresta,-9.8756,-56.0861,72.12,93,62,2.46,BR,2022-02-03 00:50:22
269,Garowe,8.4054,48.4845,65.79,82,0,7.74,SO,2022-02-03 00:51:23
270,Jalu,29.0331,21.5482,51.31,60,17,20.02,LY,2022-02-03 00:51:23
271,Matagami,49.7502,-77.6328,1.51,66,0,4.61,CA,2022-02-03 00:51:23
272,Berlevag,70.8578,29.0864,26.55,71,100,12.97,NO,2022-02-03 00:51:24
273,Khorixas,-20.3667,14.9667,64.87,58,2,6.89,NA,2022-02-03 00:51:24
274,Progreso,21.2833,-89.6667,85.1,62,2,11.7,MX,2022-02-03 00:47:58
275,Poya,-21.35,165.15,87.66,56,0,5.57,NC,2022-02-03 00:51:25
276,Hualmay,-11.0964,-77.6139,70.79,79,64,10.36,PE,2022-02-03 00:51:25
277,Saldanha,-33.0117,17.9442,64.45,90,0,8.08,ZA,2022-02-03 00:51:25
278,Polunochnoye,60.8697,60.4153,2.59,98,100,2.59,RU,2022-02-03 00:51:26
279,Presidencia Roque Saenz Pena,-26.7852,-60.4388,89.6,25,85,6.15,AR,2022-02-03 00:51:26
280,San Policarpo,12.1791,125.5072,80.17,83,100,15.95,PH,2022-02-03 00:51:26
281,Kavieng,-2.5744,150.7967,79.7,81,100,15.64,PG,2022-02-03 00:50:49
282,Norman Wells,65.282,-126.8329,-21.96,63,75,8.05,CA,2022-02-03 00:51:26
283,Kokorevka,52.5872,34.2778,17.13,97,85,4.09,RU,2022-02-03 00:51:27
284,Bilma,18.6853,12.9164,55.54,25,0,15.23,NE,2022-02-03 00:49:33
285,Kargasok,59.0556,80.8572,13.84,90,100,10.22,RU,2022-02-03 00:51:27
286,Beringovskiy,63.05,179.3167,8.71,74,100,22.75,RU,2022-02-03 00:48:37
287,Blagodatnoye,45.3997,42.5867,34.72,88,94,5.48,RU,2022-02-03 00:51:27
288,Kieta,-6.2167,155.6333,84.45,73,100,14.56,PG,2022-02-03 00:51:28
289,Half Moon Bay,37.4636,-122.4286,63.39,45,0,3.0,US,2022-02-03 00:46:28
290,Tateyama,34.9833,139.8667,50.27,50,100,6.13,JP,2022-02-03 00:51:28
291,Blagoveshchensk,50.2667,127.5333,-1.59,55,0,6.71,RU,2022-02-03 00:51:28
292,Leningradskiy,69.3833,178.4167,-13.13,94,25,9.73,RU,2022-02-03 00:51:29
293,Zhezkazgan,47.8043,67.7144,0.19,91,15,5.55,KZ,2022-02-03 00:51:29
