City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Cairns,AU,-16.9167,145.7667,78.75,91,100,2.3,light rain
132,Narsaq,GL,60.9167,-46.05,25.83,97,100,8.81,snow
133,Katsuura,JP,35.1333,140.3,42.19,61,97,13.24,overcast clouds
134,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,100,2.24,overcast clouds
135,Half Moon Bay,US,37.4636,-122.4286,62.87,62,0,6.91,mist
136,Llanes,ES,43.4198,-4.7549,55.89,82,87,3.24,overcast clouds
137,Saint-Philippe,RE,-21.3585,55.7679,80.15,93,100,39.48,heavy intensity rain
138,Vero Beach,US,27.6386,-80.3973,82.06,66,0,11.99,clear sky
139,Noumea,NC,-22.2763,166.4572,75.18,82,93,2.98,moderate rain
140,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,74,75,6.71,broken clouds
141,Mariestad,SE,58.7097,13.8237,34.38,97,100,14.18,light snow
142,Palmer,US,42.1584,-72.3287,45.95,98,100,4.61,light rain
143,Vanino,RU,49.0869,140.2543,5.11,72,100,7.38,overcast clouds
144,Kununurra,AU,-15.7667,128.7333,78.78,100,100,3.44,overcast clouds
145,Salekhard,RU,66.53,66.6019,-24.02,100,100,0.83,overcast clouds
146,Chuy,UY,-33.6971,-53.4616,84.54,62,61,13.38,broken clouds
147,Pevek,RU,69.7008,170.3133,-14.42,86,30,1.61,scattered clouds
148,Warri,NG,5.5167,5.75,81.82,65,9,8.16,clear sky
149,Brae,GB,60.3964,-1.353,40.91,69,100,29.44,overcast clouds
150,Graaff-Reinet,ZA,-32.2522,24.5308,67.93,85,4,7.43,clear sky
151,Thinadhoo,MV,0.5333,72.9333,81.7,72,16,4.7,few clouds
152,Bekhtery,UA,46.251,32.2927,32.0,67,100,17.52,overcast clouds
153,Anadyr,RU,64.75,177.4833,12.7,62,100,35.79,overcast clouds
154,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,12.66,few clouds
155,Cidreira,BR,-30.1811,-50.2056,80.4,75,66,17.56,broken clouds
156,Yei,SS,4.095,30.6779,77.36,35,97,3.2,overcast clouds
157,Viedma,AR,-40.8135,-62.9967,87.91,23,1,13.31,clear sky
158,Vestmannaeyjar,IS,63.4427,-20.2734,25.79,80,0,17.27,clear sky
159,Paamiut,GL,61.994,-49.6678,21.74,93,100,14.14,snow
160,Vostok,RU,46.4856,135.8833,-12.15,99,100,4.05,overcast clouds
161,Port Said,EG,31.2565,32.2841,58.98,55,0,16.11,clear sky
162,Tsabong,BW,-26.0217,22.401,79.34,32,0,10.31,clear sky
163,Pingxiang,CN,27.6167,113.85,38.68,94,100,1.72,overcast clouds
164,Katobu,ID,-4.9408,122.5276,75.74,90,100,2.84,overcast clouds
165,Kavieng,PG,-2.5744,150.7967,80.67,79,100,7.83,light rain
166,Georgetown,MY,5.4112,100.3354,82.33,90,20,1.01,few clouds
167,Xixiang,CN,35.1628,112.865,34.79,65,4,3.56,clear sky
168,Caravelas,BR,-17.7125,-39.2481,83.91,62,88,8.9,overcast clouds
169,Bilibino,RU,68.0546,166.4372,-8.12,63,0,4.61,clear sky
170,Geraldton,AU,-28.7667,114.6,70.21,56,0,8.05,clear sky
171,Vanderhoof,CA,54.0166,-124.0198,19.6,92,100,2.59,overcast clouds
172,Okato,NZ,-39.2,173.8833,68.92,85,42,14.36,scattered clouds
173,Aktau,KZ,43.65,51.2,46.98,62,43,18.37,scattered clouds
174,Rosarito,MX,32.3333,-117.0333,64.76,19,0,1.34,clear sky
175,Tuatapere,NZ,-46.1333,167.6833,51.82,92,100,2.71,light rain
176,Laguna,US,38.421,-121.4238,58.66,59,0,1.01,clear sky
177,Oistins,BB,13.0667,-59.5333,84.29,58,40,17.27,scattered clouds
178,Port-Cartier,CA,50.0334,-66.8654,16.02,71,100,11.72,overcast clouds
179,Mareeba,AU,-17.0,145.4333,74.12,96,100,7.0,light rain
180,Presidente Medici,BR,-11.1753,-61.9014,76.57,88,99,5.5,overcast clouds
181,Bubaque,GW,11.2833,-15.8333,77.9,75,0,14.2,clear sky
182,Muros,ES,42.7762,-9.0603,55.09,89,100,5.64,overcast clouds
183,Sitka,US,57.0531,-135.33,37.29,93,100,6.91,mist
184,Bandundu,CD,-3.3167,17.3667,72.93,92,100,4.14,light rain
185,Ostra Luka,BA,45.0,18.5883,37.36,71,62,4.99,broken clouds
186,Beringovskiy,RU,63.05,179.3167,0.57,78,100,21.32,overcast clouds
187,Tselinnoye,RU,53.0833,85.6667,-3.84,100,99,2.04,overcast clouds
188,Angoram,PG,-4.0625,144.0661,72.07,96,100,1.61,moderate rain
189,Nizwa,OM,22.9333,57.5333,69.08,30,0,6.15,clear sky
190,Namatanai,PG,-3.6667,152.4333,78.64,81,87,9.64,overcast clouds
191,Feni,BD,23.0186,91.41,62.6,61,9,3.29,clear sky
192,Touros,BR,-5.1989,-35.4608,86.9,67,69,14.61,broken clouds
193,Belmonte,BR,-15.8631,-38.8828,86.0,64,10,10.33,clear sky
194,Esmeraldas,BR,-19.7625,-44.3139,79.84,75,86,3.89,moderate rain
195,Hofn,IS,64.2539,-15.2082,30.7,58,100,22.28,overcast clouds
196,Saint George,US,37.1041,-113.5841,43.63,23,0,1.99,clear sky
197,Sibolga,ID,1.7427,98.7792,74.88,88,20,3.67,few clouds
198,Willowmore,ZA,-33.2926,23.4895,64.99,69,9,8.57,clear sky
199,Springfield,US,37.2153,-93.2982,18.16,87,100,8.01,snow
200,Sines,PT,37.9562,-8.8698,56.28,86,100,5.32,overcast clouds
201,Wenling,CN,28.3669,121.36,41.92,94,100,12.01,overcast clouds
202,Son La,VN,21.3167,103.9,47.95,97,23,3.8,few clouds
203,Saskylakh,RU,71.9167,114.0833,-19.77,97,100,1.9,overcast clouds
204,Hambantota,LK,6.1241,81.1185,75.54,100,20,4.61,few clouds
205,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.64,60,78,11.52,broken clouds
206,Bethel,US,41.3712,-73.414,44.17,100,100,2.13,moderate rain
207,Nanakuli,US,21.3906,-158.1547,75.61,65,0,9.04,clear sky
208,Haines Junction,CA,60.7522,-137.5108,-7.65,71,100,0.0,overcast clouds
209,Airai,TL,-8.9266,125.4092,60.89,94,100,2.75,overcast clouds
210,Prado,BR,-17.3411,-39.2208,82.08,71,85,9.71,overcast clouds
211,Cabo San Lucas,MX,22.8909,-109.9124,72.95,58,76,4.68,broken clouds
212,Isangel,VU,-19.55,169.2667,77.11,94,100,7.2,overcast clouds
213,Beisfjord,NO,68.3751,17.5988,19.45,86,24,12.3,few clouds
214,Verkhoyansk,RU,67.5447,133.385,-33.79,100,100,1.77,overcast clouds
215,Dniprovka,UA,47.4295,34.618,30.76,95,100,7.87,overcast clouds
216,Ukiah,US,39.1502,-123.2078,62.37,77,100,0.09,overcast clouds
217,Sinjar,IQ,36.3209,41.8754,48.18,53,97,11.41,overcast clouds
218,Evensk,RU,61.95,159.2333,16.56,41,62,24.61,broken clouds
219,Pontianak,ID,-0.0333,109.3333,76.98,94,75,2.3,mist
220,Lasa,IT,46.6166,10.7002,40.46,82,97,3.15,overcast clouds
221,Semey,KZ,50.4111,80.2275,-2.76,98,100,7.2,overcast clouds
222,Costinesti,RO,43.95,28.6333,37.02,63,7,17.25,clear sky
223,Tautira,PF,-17.7333,-149.15,84.22,67,0,14.32,clear sky
224,Avera,US,33.194,-82.5271,75.7,55,100,17.29,overcast clouds
225,San Patricio,US,28.017,-97.5169,42.89,76,100,19.84,overcast clouds
226,Maracacume,BR,-2.0428,-45.9592,79.72,89,100,4.79,light rain
227,Khatanga,RU,71.9667,102.5,-33.59,100,35,2.91,scattered clouds
228,Jinchang,CN,38.4953,102.1739,18.27,39,0,1.5,clear sky
229,Harper,LR,4.375,-7.7169,80.73,78,3,8.16,clear sky
230,Guiglo,CI,6.5456,-7.4966,79.36,21,0,1.77,clear sky
231,Oeiras Do Para,BR,-2.0031,-49.8544,87.85,56,79,5.88,broken clouds
232,Shingu,JP,33.7333,135.9833,40.91,74,65,6.96,broken clouds
233,South Bend,US,41.6834,-86.25,21.09,78,100,13.8,overcast clouds
234,Punta De Bombon,PE,-17.1717,-71.7931,72.91,73,99,9.53,overcast clouds
235,Belaya Gora,RU,68.5333,146.4167,-34.96,100,74,1.36,broken clouds
236,Aklavik,CA,68.2191,-135.0107,-18.4,69,75,3.44,broken clouds
237,Kodiak,US,57.79,-152.4072,38.71,93,100,17.27,moderate rain
238,Hay River,CA,60.8156,-115.7999,-25.62,75,20,5.75,few clouds
239,Storforshei,NO,66.4043,14.5233,19.18,58,20,16.11,few clouds
240,Broome,US,42.2506,-75.833,37.45,76,100,1.99,snow
241,Jalu,LY,29.0331,21.5482,54.01,62,14,17.09,few clouds
242,Kuytun,RU,54.3419,101.5036,-10.19,100,93,2.37,overcast clouds
243,Hutchinson,US,38.0608,-97.9298,15.19,45,100,4.0,overcast clouds
244,Rio Gallegos,AR,-51.6226,-69.2181,53.65,62,75,3.44,broken clouds
245,Altay,CN,47.8667,88.1167,3.97,67,0,7.31,clear sky
246,Tezu,IN,27.9167,96.1667,53.62,63,18,4.9,few clouds
247,Padang,ID,-0.9492,100.3543,75.25,92,100,3.06,overcast clouds
248,Labuhan,ID,-6.8844,112.2051,76.84,88,100,8.01,overcast clouds
249,Klaksvik,FO,62.2266,-6.589,36.52,70,52,42.37,broken clouds
250,Zhezkazgan,KZ,47.8043,67.7144,3.83,87,5,6.82,clear sky
251,Vestmanna,FO,62.1564,-7.1664,34.72,80,75,29.93,broken clouds
252,Sao Filipe,CV,14.8961,-24.4956,74.39,70,0,7.49,clear sky
253,Bontang,ID,0.1333,117.5,77.65,85,100,7.29,overcast clouds
254,Coahuayana,MX,18.7333,-103.6833,86.02,29,0,6.93,clear sky
255,Kasongo-Lunda,CD,-6.4667,16.8167,71.06,93,100,2.86,moderate rain
256,Hualmay,PE,-11.0964,-77.6139,76.46,69,22,12.08,few clouds
257,Bartica,GY,6.4,-58.6167,88.12,61,28,5.97,scattered clouds
258,Joao Pinheiro,BR,-17.7425,-46.1725,82.06,62,99,2.89,overcast clouds
259,Senneterre,CA,48.3835,-77.2328,-1.98,69,98,6.85,overcast clouds
260,Saldanha,ZA,-33.0117,17.9442,68.05,82,24,10.67,few clouds
261,Jiaojiang,CN,28.6803,121.4428,42.01,97,100,7.02,overcast clouds
262,Tarko-Sale,RU,64.9225,77.785,5.76,97,84,9.57,broken clouds
263,Moranbah,AU,-22.0016,148.0466,75.04,80,100,8.05,overcast clouds
264,Bardiyah,LY,31.7561,25.0865,53.13,83,100,29.15,overcast clouds
265,Halifax,CA,44.6453,-63.5724,44.53,98,100,1.01,fog
266,Husavik,IS,66.0449,-17.3389,17.51,92,100,21.12,light snow
267,Meulaboh,ID,4.1363,96.1285,75.81,86,97,4.12,overcast clouds
268,Poum,NC,-20.2333,164.0167,81.91,81,100,14.32,overcast clouds
269,Zemio,CF,5.0314,25.1361,84.51,23,100,2.33,overcast clouds
270,Srednekolymsk,RU,67.45,153.6833,-34.58,100,62,2.48,broken clouds
271,Severo-Kurilsk,RU,50.6789,156.125,29.62,87,100,8.03,light snow
272,Qingquan,CN,30.4511,115.2559,38.91,87,100,2.77,overcast clouds
273,Araouane,ML,18.9048,-3.5265,71.91,9,0,9.48,clear sky
274,Barauli,IN,26.4,84.5833,60.84,69,88,14.99,overcast clouds
275,Roche-La-Moliere,FR,45.4341,4.3228,46.51,71,0,6.91,clear sky
276,Puerto Quijarro,BO,-17.7833,-57.7667,83.23,87,100,4.45,moderate rain
277,Santa Cruz,BO,-17.8,-63.1667,89.65,58,75,14.97,broken clouds
278,Rawson,AR,-43.3002,-65.1023,77.49,40,64,8.86,broken clouds
279,Nouadhibou,MR,20.931,-17.0347,85.98,17,0,8.05,dust
280,Mangrol,IN,21.1167,70.1167,67.39,50,0,11.05,clear sky
281,Waipawa,NZ,-41.4122,175.5153,67.46,70,20,7.23,few clouds
282,Samarai,PG,-10.6167,150.6667,79.77,80,100,8.66,overcast clouds
283,Olafsvik,IS,64.8945,-23.7142,25.34,69,96,16.51,light snow
284,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,86,100,26.46,overcast clouds
285,Razdolnoye,RU,43.55,131.9167,-5.39,85,17,2.89,few clouds
286,Hovd,MN,48.0056,91.6419,-9.08,88,40,3.71,scattered clouds
287,Nemuro,JP,43.3236,145.575,20.75,75,19,14.2,few clouds
288,Aransas Pass,US,27.9095,-97.15,41.97,89,75,14.0,broken clouds
289,Piacabucu,BR,-10.4056,-36.4344,83.48,62,100,12.93,overcast clouds
290,Easton,US,40.6884,-75.2207,44.83,95,100,3.44,moderate rain
291,Sai Buri,TH,6.7013,101.6168,76.71,85,30,8.93,scattered clouds
292,Kesinga,IN,20.2,83.2333,65.57,79,12,5.5,few clouds
293,Freeport,US,40.6576,-73.5832,46.02,87,100,1.99,mist
294,Ati,TD,13.2154,18.3353,70.43,12,5,9.66,clear sky
295,Sistranda,NO,63.7256,8.834,33.76,69,100,19.13,overcast clouds
296,Honiara,SB,-9.4333,159.95,77.65,91,100,6.08,overcast clouds
297,Paita,PE,-5.0892,-81.1144,86.56,65,84,17.47,broken clouds
298,Torbat-E Jam,IR,35.244,60.6225,43.32,46,9,1.81,clear sky
299,Port Elizabeth,ZA,-33.918,25.5701,68.29,77,20,16.11,few clouds
300,San Vicente,AR,-26.6167,-54.1333,81.39,59,100,5.17,overcast clouds
301,Ketchikan,US,55.3422,-131.6461,42.78,93,100,10.36,light rain
302,Lompoc,US,34.6391,-120.4579,64.85,50,7,1.01,clear sky
303,El Vigia,VE,8.6219,-71.6506,92.46,40,36,4.25,scattered clouds
304,Ilulissat,GL,69.2167,-51.1,16.7,70,100,10.45,overcast clouds
305,Hasaki,JP,35.7333,140.8333,32.4,48,17,12.39,few clouds
306,Matagami,CA,49.7502,-77.6328,-7.49,54,20,8.05,few clouds
307,Saint-Pierre,RE,-21.3393,55.4781,80.24,94,75,37.98,heavy intensity rain
308,Hamilton,US,39.1834,-84.5333,30.83,94,100,1.99,snow
309,Mandalgovi,MN,45.7625,106.2708,2.57,76,4,9.78,clear sky
310,Progreso,MX,21.2833,-89.6667,91.51,42,0,10.18,clear sky
311,Gunjur,GM,13.2019,-16.7339,87.87,35,0,10.36,clear sky
312,Ekhabi,RU,53.5102,142.9671,3.29,94,100,23.44,light snow
313,Mayo,US,38.8876,-76.5119,51.94,96,100,4.61,moderate rain
314,Qasigiannguit,GL,68.8193,-51.1922,19.33,62,100,15.64,overcast clouds
315,Grindavik,IS,63.8424,-22.4338,25.27,80,75,17.27,broken clouds
316,Dingzhou,CN,38.5131,114.9956,23.11,32,98,7.0,overcast clouds
317,East London,ZA,-33.0153,27.9116,68.94,94,40,6.91,scattered clouds
318,Giyon,ET,8.5333,37.9833,62.92,37,100,12.75,overcast clouds
319,Tay Ninh,VN,11.3,106.1,76.26,78,69,4.74,broken clouds
320,Vila Velha,BR,-20.3297,-40.2925,78.94,89,75,9.22,broken clouds
321,Ostrovnoy,RU,68.0531,39.5131,12.79,81,100,0.89,overcast clouds
322,Jieshi,CN,22.8134,115.8257,51.94,80,99,10.8,overcast clouds
323,Riyadh,SA,24.6877,46.7219,66.34,33,0,12.55,clear sky
324,Estelle,US,29.8458,-90.1067,75.0,78,100,10.0,overcast clouds
325,Tondano,ID,1.3038,124.9112,68.09,97,100,3.0,overcast clouds
326,Mwense,ZM,-10.3845,28.698,67.32,96,100,3.42,light rain
327,Tromso,NO,69.6496,18.957,16.45,67,0,4.61,clear sky
328,Torbay,CA,47.6666,-52.7314,36.27,77,75,23.02,broken clouds
329,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,27.63,heavy snow
330,Provideniya,RU,64.3833,-173.3,1.27,66,94,22.79,overcast clouds
331,Nadvoitsy,RU,63.8667,34.3167,-1.82,100,95,3.24,overcast clouds
332,Anloga,GH,5.7947,0.8973,84.42,78,1,12.21,clear sky
333,Meghri,AM,38.9029,46.2446,38.35,55,40,7.74,scattered clouds
334,Quatre Cocos,MU,-20.2078,57.7625,81.09,91,100,24.81,moderate rain
335,Hof,DE,50.3167,11.9167,41.45,72,100,8.05,light intensity drizzle
336,Yulara,AU,-25.2406,130.9889,62.44,59,81,8.05,broken clouds
337,Awjilah,LY,29.1081,21.2869,54.55,57,9,17.94,clear sky
338,Pathein,MM,16.7833,94.7333,64.35,76,7,4.25,clear sky
339,Gambo,CF,4.6482,22.2633,79.25,27,63,0.51,broken clouds
340,Gat,IL,31.61,34.7642,56.39,52,6,15.05,clear sky
341,Santa Lucia,ES,27.9117,-15.5407,68.76,53,100,0.0,overcast clouds
342,Zhigansk,RU,66.7697,123.3711,-31.5,99,100,2.21,overcast clouds
343,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,17.27,scattered clouds
344,Svarstad,NO,59.399,9.9698,28.8,53,100,2.08,overcast clouds
345,Manggar,ID,-2.8833,108.2667,77.9,86,28,5.91,scattered clouds
346,Yatou,CN,37.15,122.3833,28.18,70,25,6.96,scattered clouds
